Reviewer	Participant	Group	Trial	Trial(coded)	1.Position	2.USplacement	3.Transducer	4.USSettings	5.Holdsprobe	6.USOrientation	7.IDTarget	8.NeedleAlign	9.Tipmaintain	10.Regaintip	11.Aspirate	12.Needletip	13.Intraneural	14.Aspiration	15.Needletip	16.Adjustments	17.InjectionPressure	18.Spread	TotalChecklistScore	Globalscore
2	22	c	Pre	bluelion	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	0	1	7	3
1	22	c	Ret	PINKLLAMA	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	15	4
2	22	c	Ret	pinkllama	0	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	12	3
1	23	i	Post	GREENLION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	17	3
2	23	i	Post	greenlion	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	15	3
1	23	i	Pre	ORANGEBIRD	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1
2	23	i	Pre	orangebird	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	4	1
1	23	i	Ret	PURPLEBEAR	1	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1	12	3
2	23	i	Ret	purplebear	1	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	0	1	13	2
1	24	c	Post	BLACKBIRD	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	14	3
2	24	c	Post	blackbird	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	15	2
1	24	c	Pre	GREYLLAMA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2	24	c	Pre	greyllama	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
1	24	c	Ret	YELLOWLION	1	1	0	0	1	0	1	1	1	1	0	1	1	0	0	0	0	1	10	3
2	24	c	Ret	yellowlion	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	13	3
1	25	c	Post	REDLLAMA	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	14	3
2	25	c	Post	redllama	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	17	4
1	25	c	Pre	WHITEBEAR	0	0	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	1	8	2
2	25	c	Pre	whitebear	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	1	0	1	10	3
1	25	c	Ret	YELLOWBIRD	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	15	3
2	25	c	Ret	yellowbird	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	16	4
1	26	c	Post	SILVERBEAR	0	0	1	1	0	1	1	1	0	0	1	0	1	1	0	0	0	1	9	2
2	26	c	Post	silverbear	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	11	2
1	26	c	Pre	BLACKLION	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1
2	26	c	Pre	blacklion	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	4	1
1	26	c	Ret	BLUELLAMA	0	0	1	0	0	1	1	1	1	1	0	1	0	0	0	1	0	1	9	2
2	26	c	Ret	bluellama	0	0	1	0	0	1	1	1	1	1	0	1	0	0	1	1	0	1	10	3
1	27	i	Post	ORANGELION	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	15	3
2	27	i	Post	orangelion	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	16	5
1	27	i	Pre	GREENBIRD	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	5	2
2	27	i	Pre	greenbird	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	4	2
1	27	i	Ret	PINKBEAR	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	13	3
2	27	i	Ret	pinkbear	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	1	1	14	3
1	28	c	Post	BLUEBIRD	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	17	4
2	28	c	Post	bluebird	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18	5
1	28	c	Pre	GREENLLAMA	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	1
2	28	c	Pre	greenllama	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1
1	28	c	Ret	PURPLELION	1	1	1	0	1	0	1	1	0	1	1	1	0	1	0	1	1	1	13	3
2	28	c	Ret	purplelion	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	16	3
